method,episode,finished_filters,total_reward,invalid_actions,breakdowns,average_wip,demand_satisfaction
Multi-Agent IQL,19,43,408.59999999999997,61,10,6.06,1.0
Multi-Agent IQL,20,58,938.2000000000007,35,10,5.99,1.0
Multi-Agent IQL,21,47,537.6999999999998,53,12,6.22,1.0
Multi-Agent IQL,22,49,681.6999999999999,43,9,6.09,1.0
Multi-Agent IQL,23,63,1206.7000000000012,26,7,3.96,1.0
Multi-Agent IQL,24,60,1128.2000000000012,39,7,2.83,1.0
Multi-Agent IQL,25,55,929.2000000000007,40,10,3.96,1.0
Multi-Agent IQL,26,43,417.7999999999997,74,9,4.3,1.0
Multi-Agent IQL,27,40,566.2000000000003,42,9,2.76,1.0
Multi-Agent IQL,28,64,1202.0000000000011,35,8,3.32,1.0
Multi-Agent IQL,29,46,484.10000000000036,58,12,6.39,1.0
Multi-Agent IQL,30,59,1075.0000000000007,28,8,4.56,1.0
Multi-Agent IQL,31,61,1133.8000000000004,34,6,3.59,1.0
Multi-Agent IQL,32,49,709.0999999999999,48,11,4.21,1.0
Multi-Agent IQL,33,58,1021.4000000000007,27,10,4.52,1.0
Multi-Agent IQL,34,58,971.3000000000005,44,8,4.14,1.0
Multi-Agent IQL,35,60,1053.6000000000004,41,7,4.34,1.0
Multi-Agent IQL,36,74,1577.4000000000012,14,7,3.54,1.0
Multi-Agent IQL,37,47,736.4000000000002,41,11,3.27,1.0
Multi-Agent IQL,38,50,517.1999999999998,51,13,8.48,1.0
Multi-Agent IQL,39,50,613.0,45,9,7.12,1.0
Multi-Agent IQL,40,80,1806.8000000000022,7,2,2.51,1.0
Multi-Agent IQL,41,59,998.3000000000011,35,5,5.61,1.0
Multi-Agent IQL,42,53,706.9999999999999,52,14,6.06,1.0
Multi-Agent IQL,43,57,968.0000000000006,31,5,4.9,1.0
Multi-Agent IQL,44,48,680.0000000000001,61,9,3.26,1.0
Multi-Agent IQL,45,54,902.8000000000008,45,9,3.54,1.0
Multi-Agent IQL,46,49,561.8,50,12,6.98,1.0
Multi-Agent IQL,47,48,723.3,51,10,3.35,1.0
Multi-Agent IQL,48,42,530.2999999999998,44,11,4.6,1.0
Multi-Agent IQL,49,42,125.5,71,8,11.17,1.0
Multi-Agent IQL,50,55,926.1000000000008,34,8,4.52,1.0
Multi-Agent IQL,51,56,1026.300000000001,28,5,3.47,1.0
Multi-Agent IQL,52,58,973.800000000001,28,7,5.81,1.0
Multi-Agent IQL,53,39,330.49999999999983,76,9,3.95,1.0
Multi-Agent IQL,54,44,291.0999999999999,69,13,8.53,1.0
Multi-Agent IQL,55,60,1125.200000000001,33,9,3.25,1.0
Multi-Agent IQL,56,58,870.7000000000004,32,9,7.19,1.0
Multi-Agent IQL,57,51,656.0000000000006,38,7,7.6,1.0
Multi-Agent IQL,58,33,-86.09999999999984,53,7,11.69,0.9428571428571428
Multi-Agent IQL,59,59,1079.2999999999995,32,7,3.92,1.0
Multi-Agent IQL,60,50,440.8999999999998,47,6,11.11,1.0
Multi-Agent IQL,61,57,910.7000000000007,44,10,5.23,1.0
Multi-Agent IQL,62,58,982.6000000000007,34,8,4.62,1.0
Multi-Agent IQL,63,50,519.8999999999997,53,8,8.56,1.0
Multi-Agent IQL,64,47,566.0999999999998,48,12,6.73,1.0
Multi-Agent IQL,65,38,229.8999999999999,83,12,4.05,1.0
Multi-Agent IQL,66,51,702.5,50,7,5.66,1.0
Multi-Agent IQL,67,48,577.3,68,11,5.01,1.0
Multi-Agent IQL,68,39,333.1,72,11,5.03,1.0
Multi-Agent IQL,69,44,495.3999999999999,61,11,4.83,1.0
Multi-Agent IQL,70,38,360.09999999999997,64,13,4.24,1.0
Multi-Agent IQL,71,47,168.59999999999985,82,10,10.61,1.0
Multi-Agent IQL,72,59,1070.900000000001,33,10,4.01,1.0
Multi-Agent IQL,73,50,666.3999999999999,50,8,5.28,1.0
Multi-Agent IQL,74,54,836.9000000000005,48,9,4.36,1.0
Multi-Agent IQL,75,61,1135.7000000000012,30,7,3.48,1.0
Multi-Agent IQL,76,43,504.1999999999997,50,12,4.41,1.0
Multi-Agent IQL,77,50,614.7,44,9,6.85,1.0
Multi-Agent IQL,78,53,796.3000000000002,51,12,4.79,1.0
Multi-Agent IQL,79,69,1376.8000000000018,26,7,3.61,1.0
Multi-Agent IQL,80,38,156.9000000000001,89,12,4.23,1.0
Multi-Agent IQL,81,35,12.399999999999919,94,12,6.55,1.0
Multi-Agent IQL,82,67,1350.2000000000016,20,9,3.76,1.0
Multi-Agent IQL,83,54,825.0000000000005,28,6,7.18,1.0
Multi-Agent IQL,84,51,725.8999999999999,61,7,3.58,1.0
Multi-Agent IQL,85,68,1318.2000000000003,30,8,3.77,1.0
Multi-Agent IQL,86,63,1247.5000000000018,23,6,3.16,1.0
Multi-Agent IQL,87,50,313.99999999999994,54,16,13.09,1.0
Multi-Agent IQL,88,45,505.69999999999993,57,8,5.38,1.0
Multi-Agent IQL,89,73,1492.6000000000017,18,6,4.06,1.0
Multi-Agent IQL,90,56,927.1000000000001,50,6,3.53,1.0
Multi-Agent IQL,91,38,247.29999999999978,77,18,5.53,1.0
Multi-Agent IQL,92,51,683.3,56,6,5.24,1.0
Multi-Agent IQL,93,61,1090.200000000001,37,10,4.26,1.0
Multi-Agent IQL,94,30,-49.69999999999975,59,9,9.13,0.8823529411764706
Multi-Agent IQL,95,58,933.1000000000004,45,9,4.9,1.0
Multi-Agent IQL,96,54,921.9000000000004,28,6,4.2,1.0
Multi-Agent IQL,97,53,833.0000000000002,40,10,4.44,1.0
Multi-Agent IQL,98,43,395.2999999999998,71,16,5.75,1.0
Multi-Agent IQL,99,54,826.9000000000009,51,10,4.49,1.0
Greedy Multi-Agent,0,75,1461.3000000000018,23,8,6.05,1.0
Greedy Multi-Agent,1,73,402.39999999999986,34,8,27.8,1.0
Greedy Multi-Agent,2,83,1243.5000000000018,29,9,15.04,1.0
Greedy Multi-Agent,3,75,1063.899999999999,27,9,15.49,1.0
Greedy Multi-Agent,4,84,1500.6999999999978,28,7,10.27,1.0
Greedy Multi-Agent,5,57,721.7000000000004,63,13,7.45,1.0
Greedy Multi-Agent,6,71,1160.2000000000012,42,10,8.77,1.0
Greedy Multi-Agent,7,77,1195.2999999999997,45,13,10.81,1.0
Greedy Multi-Agent,8,66,163.2999999999996,44,7,30.35,1.0
Greedy Multi-Agent,9,76,1321.1000000000008,27,6,9.78,1.0
Greedy Multi-Agent,10,87,1748.0999999999997,17,6,7.29,1.0
Greedy Multi-Agent,11,65,1152.6,40,7,4.34,1.0
Greedy Multi-Agent,12,63,195.9999999999999,60,11,24.35,1.0
Greedy Multi-Agent,13,70,1126.4000000000003,38,7,8.94,1.0
Greedy Multi-Agent,14,58,466.30000000000024,57,8,14.61,1.0
Greedy Multi-Agent,15,82,1147.599999999999,27,6,16.52,1.0
Greedy Multi-Agent,16,77,1029.2000000000012,38,8,16.06,1.0
Greedy Multi-Agent,17,68,1111.7000000000007,47,9,6.57,1.0
Greedy Multi-Agent,18,79,1276.1000000000008,40,12,10.63,1.0
Greedy Multi-Agent,19,84,1651.7000000000023,29,8,6.35,1.0
Greedy Multi-Agent,20,85,1683.3000000000013,27,7,6.5,1.0
Greedy Multi-Agent,21,65,18.900000000000013,57,11,31.14,1.0
Greedy Multi-Agent,22,68,850.5000000000003,55,11,11.69,1.0
Greedy Multi-Agent,23,73,1431.7000000000019,30,7,4.77,1.0
Greedy Multi-Agent,24,77,1442.5,31,11,6.21,1.0
Greedy Multi-Agent,25,83,1332.1000000000013,33,10,12.63,1.0
Greedy Multi-Agent,26,56,450.5,59,16,13.5,1.0
Greedy Multi-Agent,27,71,914.8999999999992,47,11,14.06,1.0
Greedy Multi-Agent,28,74,1136.8000000000002,40,9,10.82,1.0
Greedy Multi-Agent,29,62,789.4000000000007,58,12,10.07,1.0
Greedy Multi-Agent,30,93,1869.1999999999975,8,5,9.14,1.0
Greedy Multi-Agent,31,88,1717.6000000000013,15,5,8.88,1.0
Greedy Multi-Agent,32,72,1287.100000000001,37,7,6.7,1.0
Greedy Multi-Agent,33,69,569.9999999999998,47,9,21.27,1.0
Greedy Multi-Agent,34,86,1800.5999999999963,13,6,5.57,1.0
Greedy Multi-Agent,35,82,1385.0000000000011,28,8,11.87,1.0
Greedy Multi-Agent,36,86,1778.200000000003,15,4,6.01,1.0
Greedy Multi-Agent,37,65,604.3999999999997,49,7,16.84,1.0
Greedy Multi-Agent,38,73,849.8000000000008,50,9,15.43,1.0
Greedy Multi-Agent,39,85,1435.8000000000013,24,9,12.03,1.0
Greedy Multi-Agent,40,87,1626.5,22,12,9.86,1.0
Greedy Multi-Agent,41,72,648.7999999999993,40,8,22.3,1.0
